year,Quarter,GEO,Migration_rate,vacancy_rate_change
2015,2,Ontario,40.03,0.00
2015,3,Ontario,7.15,-12.36
2015,4,Ontario,-10.80,-5.13
2016,1,Ontario,19.86,-9.46
2016,2,Ontario,1.64,23.88
2016,3,Ontario,-23.10,1.20
2016,4,Ontario,-14.76,-8.33
2017,1,Ontario,19.69,6.49
2017,2,Ontario,7.82,9.76
2017,3,Ontario,2.88,0.00
2017,4,Ontario,11.85,-1.11
2018,1,Ontario,12.30,-4.49
2018,2,Ontario,7.22,15.29
2018,3,Ontario,-12.04,0.00
2018,4,Ontario,-6.24,2.04
2019,1,Ontario,-0.04,-11.00
2019,2,Ontario,39.70,11.24
2019,3,Ontario,5.51,-4.04
2019,4,Ontario,-28.67,-8.42
2020,1,Ontario,-1.29,-1.15
2020,2,Ontario,-50.32,0.00
2020,3,Ontario,7.39,0.00
2020,4,Ontario,0.18,18.60
2021,1,Ontario,102.48,-2.94
2021,2,Ontario,9.58,30.30
2021,3,Ontario,53.78,21.71
2021,4,Ontario,13.50,0.00
2022,1,Ontario,-24.31,-3.82
2022,2,Ontario,0.25,13.25
2022,3,Ontario,-1.32,-5.85
2022,4,Ontario,-33.40,-14.29
2023,1,Ontario,82.22,-12.32
2023,2,Ontario,-9.71,1.65
2023,3,Ontario,-14.19,-9.76
2023,4,Ontario,-6.83,-13.51
2024,1,Ontario,20.18,-7.29
